Code,Yahoo ticker,Name,Full name,Industry code,Issued shares,Market,Industry,Asset type,Fund type,Detailed industry,Investment theme,Supply-chain role
006203,006203.TW,元大MSCI台灣,元大摩臺證券投資信託基金,ETF,10218000,上市,台灣股票 ETF,ETF,國內成分證券指數股票型基金,台灣股票 ETF,台灣股票 ETF,ETF 投資工具
006204,006204.TW,永豐臺灣加權,永豐臺灣加權ETF證券投資信託基金,ETF,1500000,上市,台灣股票 ETF,ETF,國內成分證券指數股票型基金,台灣股票 ETF,台灣股票 ETF,ETF 投資工具
006208,006208.TW,富邦台50,富邦台灣釆吉50 證券投資信託基金,ETF,1860040000,上市,台灣股票 ETF,ETF,國內成分證券指數股票型基金,台灣股票 ETF,台灣股票 ETF,ETF 投資工具
00690,00690.TW,兆豐藍籌30,兆豐臺灣藍籌30ETF傘型證券投資信託基金之兆豐臺灣藍籌30 ETF證券投資信託基金,ETF,83830000,上市,台灣股票 ETF,ETF,國內成分證券指數股票型基金,台灣股票 ETF,台灣股票 ETF,ETF 投資工具
00692,00692.TW,富邦公司治理,富邦臺灣公司治理100證券投資信託基金,ETF,614280000,上市,台灣股票 ETF,ETF,國內成分證券指數股票型基金,台灣股票 ETF,台灣股票 ETF,ETF 投資工具
00701,00701.TW,國泰股利精選30,國泰低波動ETF傘型證券投資信託基金之臺灣低波動股利精選30證券投資信託基金,ETF,170391000,上市,台灣股票 ETF,ETF,國內成分證券指數股票型基金,台灣股票 ETF,台灣股票 ETF,ETF 投資工具
00713,00713.TW,元大台灣高息低波,元大台灣高股息低波動ETF證券投資信託基金,ETF,1696012000,上市,台灣股票 ETF,ETF,國內成分證券指數股票型基金,台灣股票 ETF,台灣股票 ETF,ETF 投資工具
00728,00728.TW,第一金工業30,第一金臺灣工業菁英30ETF傘型證券投資信託基金之第一金臺灣工業菁英30 ETF證券投資信託基金,ETF,39423000,上市,台灣股票 ETF,ETF,國內成分證券指數股票型基金,台灣股票 ETF,台灣股票 ETF,ETF 投資工具
00730,00730.TW,富邦臺灣優質高息,富邦道瓊臺灣優質高息30ETF證券投資信託基金,ETF,69544000,上市,台灣股票 ETF,ETF,國內成分證券指數股票型基金,台灣股票 ETF,台灣股票 ETF,ETF 投資工具
00731,00731.TW,復華富時高息低波,復華富時台灣高股息低波動證券投資信託基金,ETF,20600000,上市,台灣股票 ETF,ETF,國內成分證券指數股票型基金,台灣股票 ETF,台灣股票 ETF,ETF 投資工具
00733,00733.TW,臺灣中小A級動能50 ETF基金,富邦臺灣中小A級動能50 ETF證券投資信託基金,ETF,64966000,上市,台灣股票 ETF,ETF,國內成分證券指數股票型基金,台灣股票 ETF,台灣股票 ETF,ETF 投資工具
00850,00850.TW,元大臺灣ESG永續,元大臺灣ESG永續ETF證券投資信託基金,ETF,416944000,上市,台灣股票 ETF,ETF,國內成分證券指數股票型基金,台灣股票 ETF,台灣股票 ETF,ETF 投資工具
00878,00878.TW,國泰永續高股息,國泰台灣高股息傘型證券投資信託基金之台灣ESG永續高股息ETF證券投資信託基金,ETF,18867790000,上市,台灣股票 ETF,ETF,國內成分證券指數股票型基金,台灣股票 ETF,台灣股票 ETF,ETF 投資工具
00881,00881.TW,國泰台灣科技龍頭,國泰台灣科技龍頭ETF證券投資信託基金,ETF,2975403000,上市,台灣股票 ETF,ETF,國內成分證券指數股票型基金,台灣股票 ETF,台灣股票 ETF,ETF 投資工具
00891,00891.TW,中信關鍵半導體,中國信託臺灣ESG永續關鍵半導體ETF證券投資信託基金,ETF,1919090000,上市,台灣股票 ETF,ETF,國內成分證券指數股票型基金,台灣股票 ETF,台灣股票 ETF,ETF 投資工具
00892,00892.TW,富邦台灣半導體,富邦台灣核心半導體ETF證券投資信託基金,ETF,320792000,上市,台灣股票 ETF,ETF,國內成分證券指數股票型基金,台灣股票 ETF,台灣股票 ETF,ETF 投資工具
00894,00894.TW,中信小資高價30,中國信託特選小資高價30ETF證券投資信託基金,ETF,148509000,上市,台灣股票 ETF,ETF,國內成分證券指數股票型基金,台灣股票 ETF,台灣股票 ETF,ETF 投資工具
00896,00896.TW,中信綠能及電動車,中國信託臺灣綠能及電動車ETF證券投資信託基金,ETF,389880000,上市,台灣股票 ETF,ETF,國內成分證券指數股票型基金,台灣股票 ETF,台灣股票 ETF,ETF 投資工具
00900,00900.TW,富邦特選高股息30,富邦特選台灣高股息30 ETF證券投資信託基金,ETF,1570025000,上市,台灣股票 ETF,ETF,國內成分證券指數股票型基金,台灣股票 ETF,台灣股票 ETF,ETF 投資工具
00901,00901.TW,永豐智能車供應鏈,永豐台灣智能車供應鏈ETF證券投資信託基金,ETF,62349000,上市,台灣股票 ETF,ETF,國內成分證券指數股票型基金,台灣股票 ETF,台灣股票 ETF,ETF 投資工具
00904,00904.TW,台新臺灣半導體30,台新臺灣全市場半導體精選30ETF證券投資信託基金,ETF,162612000,上市,台灣股票 ETF,ETF,國內成分證券指數股票型基金,台灣股票 ETF,台灣股票 ETF,ETF 投資工具
00905,00905.TW,FT臺灣Smart,富蘭克林華美臺灣Smart ETF證券投資信託基金,ETF,359827000,上市,台灣股票 ETF,ETF,國內成分證券指數股票型基金,台灣股票 ETF,台灣股票 ETF,ETF 投資工具
00907,00907.TW,永豐優息存股,永豐台灣優選入息存股ETF證券投資信託基金,ETF,148133000,上市,台灣股票 ETF,ETF,國內成分證券指數股票型基金,台灣股票 ETF,台灣股票 ETF,ETF 投資工具
00912,00912.TW,中信臺灣智慧50,中國信託臺灣智慧50ETF證券投資信託基金,ETF,59753000,上市,台灣股票 ETF,ETF,國內成分證券指數股票型基金,台灣股票 ETF,台灣股票 ETF,ETF 投資工具
00913,00913.TW,兆豐台灣晶圓製造ETF,兆豐特選台灣晶圓製造 ETF證券投資信託基金,ETF,58766000,上市,台灣股票 ETF,ETF,國內成分證券指數股票型基金,台灣股票 ETF,台灣股票 ETF,ETF 投資工具
00915,00915.TW,凱基優選高股息30,凱基台灣優選高股息30ETF證券投資信託基金,ETF,510483000,上市,台灣股票 ETF,ETF,國內成分證券指數股票型基金,台灣股票 ETF,台灣股票 ETF,ETF 投資工具
00918,00918.TW,大華優利高填息30 ETF,大華銀台灣優選股利高填息30ETF證券投資信託基金,ETF,3379264000,上市,台灣股票 ETF,ETF,國內成分證券指數股票型基金,台灣股票 ETF,台灣股票 ETF,ETF 投資工具
00919,00919.TW,群益台灣精選高息,群益台灣精選高息ETF證券投資信託基金,ETF,18180635000,上市,台灣股票 ETF,ETF,國內成分證券指數股票型基金,台灣股票 ETF,台灣股票 ETF,ETF 投資工具
00921,00921.TW,兆豐龍頭等權重,兆豐台灣產業龍頭存股等權重ETF證券投資信託基金,ETF,54770000,上市,台灣股票 ETF,ETF,國內成分證券指數股票型基金,台灣股票 ETF,台灣股票 ETF,ETF 投資工具
00922,00922.TW,國泰台灣領袖50 ETF基金,國泰台灣領袖 50 ETF 證券投資信託基金,ETF,2146686000,上市,台灣股票 ETF,ETF,國內成分證券指數股票型基金,台灣股票 ETF,台灣股票 ETF,ETF 投資工具
00923,00923.TW,群益台ESG低碳50,群益台灣ESG低碳50ETF證券投資信託基金,ETF,954423000,上市,台灣股票 ETF,ETF,國內成分證券指數股票型基金,台灣股票 ETF,台灣股票 ETF,ETF 投資工具
00927,00927.TW,群益半導體收益,群益台灣半導體收益ETF證券投資信託基金,ETF,1350897000,上市,台灣股票 ETF,ETF,國內成分證券指數股票型基金,台灣股票 ETF,台灣股票 ETF,ETF 投資工具
00929,00929.TW,復華台灣科技優息,復華台灣科技優息ETF證券投資信託基金,ETF,5051639000,上市,台灣股票 ETF,ETF,國內成分證券指數股票型基金,台灣股票 ETF,台灣股票 ETF,ETF 投資工具
00930,00930.TW,永豐ESG低碳高息,永豐台灣ESG低碳高息40ETF證券投資信託基金,ETF,127779000,上市,台灣股票 ETF,ETF,國內成分證券指數股票型基金,台灣股票 ETF,台灣股票 ETF,ETF 投資工具
00932,00932.TW,兆豐永續高息等權,兆豐台灣ESG永續高股息等權重ETF證券投資信託基金,ETF,113783000,上市,台灣股票 ETF,ETF,國內成分證券指數股票型基金,台灣股票 ETF,台灣股票 ETF,ETF 投資工具
00934,00934.TW,中信成長高股息,中國信託臺灣優選成長高股息ETF證券投資信託基金,ETF,423526000,上市,台灣股票 ETF,ETF,國內成分證券指數股票型基金,台灣股票 ETF,台灣股票 ETF,ETF 投資工具
00935,00935.TW,野村臺灣新科技50,野村臺灣創新科技50 ETF證券投資信託基金,ETF,848004000,上市,台灣股票 ETF,ETF,國內成分證券指數股票型基金,台灣股票 ETF,台灣股票 ETF,ETF 投資工具
00936,00936.TW,台新永續高息中小型ETF,台新臺灣永續高息中小型ETF證券投資信託基金,ETF,195297000,上市,台灣股票 ETF,ETF,國內成分證券指數股票型基金,台灣股票 ETF,台灣股票 ETF,ETF 投資工具
00938,00938.TW,凱基優選30,凱基台灣優選30 ETF證券投資信託基金,ETF,98516000,上市,台灣股票 ETF,ETF,國內成分證券指數股票型基金,台灣股票 ETF,台灣股票 ETF,ETF 投資工具
00939,00939.TW,統一台灣高息動能ETF基金,統一台灣高息動能ETF證券投資信託基金,ETF,1166476000,上市,台灣股票 ETF,ETF,國內成分證券指數股票型基金,台灣股票 ETF,台灣股票 ETF,ETF 投資工具
00940,00940.TW,元大台灣價值高息,元大臺灣價值高息ETF證券投資信託基金,ETF,5257365000,上市,台灣股票 ETF,ETF,國內成分證券指數股票型基金,台灣股票 ETF,台灣股票 ETF,ETF 投資工具
00943,00943.TW,兆豐電子高息等權,兆豐台灣電子成長高息等權重ETF證券投資信託基金,ETF,40389000,上市,台灣股票 ETF,ETF,國內成分證券指數股票型基金,台灣股票 ETF,台灣股票 ETF,ETF 投資工具
00944,00944.TW,野村趨勢動能高息,野村臺灣趨勢動能高股息ETF證券投資信託基金,ETF,53581000,上市,台灣股票 ETF,ETF,國內成分證券指數股票型基金,台灣股票 ETF,台灣股票 ETF,ETF 投資工具
00946,00946.TW,群益科技高息成長,群益台灣科技高息成長ETF證券投資信託基金,ETF,451246000,上市,台灣股票 ETF,ETF,國內成分證券指數股票型基金,台灣股票 ETF,台灣股票 ETF,ETF 投資工具
00947,00947.TW,台新臺灣IC設計動能ETF基金,台新臺灣IC設計動能ETF證券投資信託基金,ETF,291864000,上市,台灣股票 ETF,ETF,國內成分證券指數股票型基金,台灣股票 ETF,台灣股票 ETF,ETF 投資工具
00952,00952.TW,凱基台灣AI 50,凱基優選台灣AI 50 ETF證券投資信託基金,ETF,247775000,上市,台灣股票 ETF,ETF,國內成分證券指數股票型基金,台灣股票 ETF,台灣股票 ETF,ETF 投資工具
