ticker,asof,Name,Market,Industry,beta_252d,flow_foreign_persist,max_ret_5d,mom_12_1,mom_6m,resid_mom_12m,rev_yoy,size_ln_mcap,vol_60d,composite_score
7767.TWO,2026-09-17,仁大資訊,上櫃,資訊服務業,1.125975518354894,-0.6710219932125862,-0.4416742735224925,-0.5271844620387058,0.13683048565414163,0.37864861546375006,0.0772490615179008,0.958108147005756,0.24430306856690145,0.14235935197661773
2528.TW,2026-09-17,皇普,上市,建材營造,0.7796863823122806,1.5922360354408616,0.5207079390066233,-0.4128550978588635,-0.4674104281819749,-0.22787857630412733,-1.0010069685052148,-0.15509336586576225,0.6436808509225228,0.1413407523295939
5519.TW,2026-09-17,隆大,上市,建材營造,0.8197309002593668,-0.6710219932125862,0.8614033024479018,0.14962119832052787,-0.5311637070185324,0.4910987506439669,-1.071307470992528,0.08481161718071357,1.1364215641542916,0.1410660179759024
6588.TWO,2026-09-17,東典光電,上櫃,通信網路業,0.5693354077476788,0.837816692556379,-1.7423417728651054,0.26970898460993226,-0.7312935547422871,2.0776789709555588,1.2941311696109064,0.30263108389145477,-1.610183296973143,0.14083152053237497
1524.TW,2026-09-17,耿鼎,上市,汽車工業,0.3104456957680834,0.08339734967189646,0.4336035141216424,-0.16537958774531722,-0.26949442258556866,0.14347229623131486,-0.33268728399504005,0.265037286253255,0.7978853261657652,0.14069779709844793
1776.TW,2026-09-17,展宇,上市,化學工業,0.056154163005967345,0.08339734967189646,-1.1471866985236565,0.1259228841316056,0.501203702755959,0.42573343845043243,-0.3381117545136564,1.0913441602069347,0.4646919050545211,0.14034990558222266
7732.TW,2026-09-17,金興精密,上市,汽車工業,0.5332870622938836,-0.6710219932125862,0.0064402259158917,-0.1752720949471479,-0.14184427731894925,0.35886199952006315,-0.30279070412206516,0.6798422269663538,0.9683324623290066,0.13953721193605004
3669.TW,2026-09-17,圓展,上市,通信網路業,0.44302593878026686,0.08339734967189646,0.7254073031618582,0.14031128295569278,-0.26116275655969334,0.19536975783395485,-0.5390462648364057,0.48160625665407025,-0.013665199707761158,0.13947151866154212
4912.TW,2026-09-17,聯德控股-KY,上市,電子零組件,0.8440954267124627,0.08339734967189646,-0.43604530592009755,0.21231338584687384,-0.058732327981703206,0.8686314042026347,-0.061770289899409206,0.04319120363561045,-0.24012949005752823,0.1394390395789711
6585.TW,2026-09-17,鼎基,上市,其他,0.2604853904550128,0.08339734967189646,-0.20809616836774678,0.13334584558863063,0.8404674003503946,0.07342960022757594,-0.23583101045123947,-0.08552320576884039,0.3887879730213171,0.13894035274744454
9911.TW,2026-09-17,櫻花,上市,居家生活,0.6508028783352053,-0.6710219932125862,0.644612629927216,-0.14370883688120703,-0.22944428942928333,0.5238165004553486,-0.2817147348090106,-0.6193607127859966,1.375258509925439,0.13880443905834727
