Ticker,Name,Market,Foreign 20D value,Trust 20D value,Dealer 20D value,20D net value,20D net shares,Trust 20D shares,Foreign 5D value,Trust 5D value,Dealer 5D value,5D net value,5D net shares,Trust 5D shares,Foreign 1D value,Trust 1D value,Dealer 1D value,1D net value,1D net shares,Trust 1D shares,Industry,Asset type,Issued shares,Detailed industry,Investment theme,Supply-chain role,Close,Market cap proxy,1D flow intensity,5D flow intensity,20D flow intensity,Trust 1D intensity,Trust 5D intensity,Trust 20D intensity,1D return,5D return,20D return,Flow score,Stage,Signal date
2609.TW,陽明,上市,3428728398.5305405,16108867.298446655,-141072777.48431015,3303764488.344677,53808530.0,288585.0,1763013021.4875488,-25658893.41143799,63868706.789173126,1801222834.865284,29996739.0,-421572.0,-247633831.0,-5524892.0,29908056.0,-223250667.0,-3659847.0,-90572.0,航運業,股票,3492104270,航運與航空,運價循環,海運／航空運輸,61.0,213018360470.0,-0.0010480348572180522,0.008589874952387949,0.015408626386748756,-2.5936224407182436e-05,-0.00012072148120594349,8.26392849947748e-05,0.014975067366539863,0.026936000555892514,0.11517365903455246,91.68097692839397,資金累積＋價格確認,2026-09-18
5425.TWO,台半,上櫃,-213597979.79328918,602769890.335083,-152096612.29175568,237075298.25003815,2342554.0,6237000.0,270677267.2255707,0.0,114158037.51553345,384835304.7411041,4154360.0,0.0,-29133070.719940186,0.0,-37863120.7760849,-66996191.496025085,-723501.0,0.0,半導體業,股票,263485486,半導體業,半導體業,待進一步分類,92.5999984741211,24398755601.553055,-0.0027458855931062555,0.015766940574480068,0.00889063771808668,0.0,0.0,0.023671133065750725,-0.021141649389636363,0.07549361341688865,0.03003333595567237,91.43199248836613,資金累積＋價格確認,2026-09-18
6531.TW,愛普*,上市,1148153091.0,2155152149.0,65397393.0,3368702633.0,3294826.0,2154231.0,642394493.0,-138488000.0,-27899831.0,476006662.0,429601.0,-143000.0,1009053848.0,-133584000.0,40716984.0,916186832.0,946474.0,-138000.0,半導體業,股票,162846540,IC 設計,半導體 IC 設計,晶片設計,968.0,157635450720.0,0.005812060851891603,0.0026380726296057625,0.02023270497488003,-0.0008474235927886463,-0.0008781273461505538,0.01322859546171506,0.029787234042553123,-0.020242914979757054,0.10882016036655218,91.04808166227585,資金累積＋價格確認,2026-09-18
2436.TW,偉詮電,上市,238157930.4916687,47318299.48425293,32131552.249912262,317607782.2258339,4143124.0,691000.0,78404399.3657074,1216500.1678466797,3082422.8258361816,82703322.35939026,1169687.0,19000.0,-3940780.28855896,0.0,2367808.853210449,-1572971.4353485107,-23166.0,0.0,半導體業,股票,204177561,半導體業,半導體業,待進一步分類,67.9000015258789,13863656703.450233,-0.00011346006821973939,0.005728773496319706,0.020291769476078716,0.0,9.305625900781526e-05,0.0033843092091789657,-0.011644766490542802,0.011922549477648037,0.02259036092665423,90.75981565594756,資金累積＋價格確認,2026-09-18
2892.TW,第一金,上市,7267763657.218491,1588699957.7931976,118161298.7383728,8974624913.750061,247054894.0,40133448.0,813945093.4178009,731445983.8622856,85240638.35105515,1630631715.6311417,40823719.0,18317745.0,267057517.28068542,-44387148.14912796,47442434.89056015,270112804.0221176,6786754.0,-1115255.0,金融保險,股票,14379468650,金融控股,金融股,銀行／保險／證券,39.79999923706055,572302841299.336,0.00047197529791895336,0.002839028339200837,0.017181086451341164,-7.755884637642713e-05,0.0012738819107895201,0.0027910244096536903,-0.007481278016859605,0.023136187040581513,0.19161668918556218,90.7176537138277,資金累積＋價格確認,2026-09-18
6214.TW,精誠,上市,658526788.0,25329823.0,-41446762.5,642409848.5,3391606.0,142789.0,330920447.5,6481507.0,-13740274.0,323661680.5,1684205.0,33973.0,100145327.0,0.0,3890000.0,104035327.0,534886.0,0.0,資訊服務業,股票,272243066,資訊服務業,資訊服務業,待進一步分類,194.5,52951276337.0,0.001964736909038484,0.006186401823729094,0.01245800691944896,0.0,0.00012478922052692426,0.0005244908606781559,0.018324607329842868,0.03183023872679036,0.10826210826210825,90.66924260044267,資金累積＋價格確認,2026-09-18
006201.TWO,元大富櫃50,上櫃,1376511.7376937866,8008869.94934082,1458937.168849945,10844318.855884552,237399.0,183000.0,390201.7859535217,4610050.010681152,3264751.7672805786,8265003.563915253,182509.0,105000.0,1427549.976348877,-3223499.9465942383,8224299.613742828,6428349.643497467,139595.0,-70000.0,台灣股票 ETF,ETF,22946000,台灣股票 ETF,台灣股票 ETF,ETF 投資工具,46.04999923706055,1056663282.4935913,0.006083631133966705,0.00795384816525756,0.010345986228536564,-0.003050640634533252,0.004575960951799878,0.007975246230279787,0.017679541150509293,0.05305281772489989,0.034831443529450556,90.58441543970581,資金累積＋價格確認,2026-09-18
2353.TW,宏碁,上市,975912167.8771782,361043546.4096451,118415768.23694801,1455371482.5237713,45482923.0,11337352.0,419087936.0821972,77829613.12935638,144942647.60887718,641860196.8204308,19944885.0,2435293.0,-72058625.92070007,1190648.7284317017,11761753.7808609,-59106223.41140747,-1849960.0,37266.0,電腦及週邊設備,股票,3047853828,電腦及週邊設備,電腦及週邊設備,待進一步分類,31.950000762939453,97378932129.92793,-0.000606971365557233,0.006543911265287884,0.014922934486607538,1.2226964317528945e-05,0.0007990189613515809,0.0037197820629867816,-0.015408320130797626,0.02733120164127656,0.015898250806696268,90.19093493173453,資金累積＋價格確認,2026-09-18
7799.TW,禾榮科,上市,533660330.0,36113000.0,3111530.0,572884860.0,1228844.0,79000.0,504079329.5,36113000.0,-5284394.5,534907935.0,1129123.0,79000.0,63313488.0,7560000.0,-19656000.0,51217488.0,101622.0,15000.0,生技醫療,股票,158245000,生技醫療,生技醫療,待進一步分類,504.0,79755480000.0,0.0006421814275332553,0.007135283895225757,0.007765452304970141,9.478972479383235e-05,0.0004992258839141837,0.0004992258839141837,0.04024767801857587,0.21592279855247276,0.43999999999999995,90.1052395726124,資金累積＋價格確認,2026-09-18
2379.TW,瑞昱,上市,2611217998.563843,1532905749.598877,126147772.4533081,4270271520.616028,5940287.0,2194147.0,3201917821.0,13377996.0,1614413.0,3216910230.0,4463119.0,22348.0,709970025.0,-8471004.0,46825343.0,748324364.0,1029332.0,-11652.0,半導體業,股票,515512641,IC 設計,半導體 IC 設計,晶片設計,727.0,374777690007.0,0.0019967153433973696,0.008657632509927142,0.011523067578860787,-2.260274350866985e-05,4.3351022307908835e-05,0.004256242864857314,0.0055325034578146415,0.032670454545454586,0.013947001394700065,90.0917114632272,資金累積＋價格確認,2026-09-18
